原序号	旧英文	主词头	中文别称	主中文	记录性质	使用限制
27		B-tree	B 树；B-tree	B-树	已撤回译法记录	用于定位此前术语校准引入的改动，结合英文与台账恢复 B-树；真实标识符及原始输出保留，不全局替换英文 B-tree。
60		buffer table	缓冲表	缓冲区映射表	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
78		Character-entry escapes	字符项转义；字符项逃逸	字符输入转义	旧译检索	用于定位正则字符输入转义的编码说明、标题及定义；Numeric character-entry escapes 也需核实。不是允许混用的别名，不改写转义字面量或其他转义类别。
92		command id	命令 ID	命令标识符	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
127		default B-tree operator class	默认 B-tree 操作符类	默认 B-树操作符类	已撤回译法记录	结合英文与台账恢复本条中文；实际操作符类标识符及访问方法名保持原样。
179	first-committer-wins	first-committer-win	先提交者胜出	以先提交者为准	词头别名与已撤回译法	wins 形式用于检索，文献和代码按实际拼写保留；此前校准引入的中文修改按台账恢复原译。
180	first-updater-wins	first-updater-win	先更新者胜出	以先更新者为准	词头别名与已撤回译法	wins 形式用于检索，文献和代码按实际拼写保留；此前校准引入的中文修改按台账恢复原译。
197	Full VACUUM	FULL VACUUM		完全清理	词头别名	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
199		full-page image	整页映像	整页镜像	已撤回译法记录	结合英文与台账恢复本条中文，不牵入前映像、后映像或其他 image 词条，不改函数、配置和输出。
213		header data	头部数据	首部数据	已撤回译法记录	仅定位 header data 对应的修订，不扩展替换页头、元组头或类型名。
215	heap only tuple	heap-only tuple	仅堆元组	堆内元组	词头别名与中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
221		heap-only tuple updates	仅堆元组更新	堆内元组更新	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
230		HOT	仅堆元组	堆内元组	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
267		Join Types and Methods	连接类型与方法	连接类型和方式	已撤回译法记录	仅恢复本条对应标题，不全局替换和/与或方式/方法。
288		log compaction	日志压缩	日志压实	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
297		LWW	最后写入胜利	最后写入胜出	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
385		percentiles	百分位数	百分位点	已撤回译法记录	结合英文与台账恢复本条中文；discrete percentile 等完整词条不属于本条回退范围，不全局替换百分位数。
387	pg_checksum	pd_checksum		页校验和	勘误记录	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
388	pg_flag	pd_flags		页标志位	勘误记录	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
469	save-point	savepoint		保存点	词头别名	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
530	START WAL	START WAL LOCATION		WAL 起始位置	勘误记录	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
561	TimelineID	TimeLineID		时间线 ID	上下文检索	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
579		Trigrams	三元组	三字符组	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
586	txid wrap around	txid wraparound		事务 ID 回卷	词头别名	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
600		Value Insertion	值插入	插入值	已撤回译法记录	恢复本条对应标题，句中按实际语法表达，代码与 INSERT 关键字保持原样。
603		victim page	待置换页	牺牲页面	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
