task_id	batch	dependencies	target_files	actions	hunk_ids	unit_ids	unit_ledger	pg18_chinese_source	old_english	new_english	historical_reference	status	acceptance	evidence
P20-INPUT	0	[]	"[""zh/20""]"	"[""verify_frozen_inputs""]"	[]	[]						pending_formal_execution	Run verify_preparation.py --check-draft on first execution. On resume omit --check-draft and reconcile execution ledger hashes; never restore the whole inherited tree over later work.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/source-manifest.json
F20-009d4fb1ad03	1	"[""P20-INPUT""]"	"[""zh/20/ref/drop_domain.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/drop_domain.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/drop_domain.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/drop_domain.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-01ae4d97ef27	1	"[""P20-INPUT""]"	"[""zh/20/ref/refresh_materialized_view.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/refresh_materialized_view.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/refresh_materialized_view.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/refresh_materialized_view.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-0488a6339256	1	"[""P20-INPUT""]"	"[""zh/20/basic-archive.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/basic-archive.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/basic-archive.sgml	/Users/vonng/pgsty/pgdoc/en/20/basic-archive.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-07e33c181fac	1	"[""P20-INPUT""]"	"[""zh/20/ref/pg_isready.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/pg_isready.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/pg_isready.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/pg_isready.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-0934fb83b1b1	1	"[""P20-INPUT""]"	"[""zh/20/ref/create_opfamily.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/create_opfamily.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/create_opfamily.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/create_opfamily.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-0953dc144217	1	"[""P20-INPUT""]"	"[""zh/20/stylesheet.xsl""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/stylesheet.xsl	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/stylesheet.xsl	/Users/vonng/pgsty/pgdoc/en/20/stylesheet.xsl		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-0afb28214e18	1	"[""P20-INPUT""]"	"[""zh/20/keywords/sql2023-09-reserved.txt""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/keywords/sql2023-09-reserved.txt	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/keywords/sql2023-09-reserved.txt	/Users/vonng/pgsty/pgdoc/en/20/keywords/sql2023-09-reserved.txt		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-0b24d3c62be6	1	"[""P20-INPUT""]"	"[""zh/20/notation.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/notation.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/notation.sgml	/Users/vonng/pgsty/pgdoc/en/20/notation.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
F20-0c036ec465df	1	"[""P20-INPUT""]"	"[""zh/20/ref/alter_tsconfig.sgml""]"	"[""copy_unchanged""]"	[]	[]		/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/zh/18/ref/alter_tsconfig.sgml	/Users/vonng/pgsty/pgdoc/tmp/pg20-from-18.6/20260909-085948-37d573/inputs/en/18.6/ref/alter_tsconfig.sgml	/Users/vonng/pgsty/pgdoc/en/20/ref/alter_tsconfig.sgml		inherited_pending_formal_audit	Verify the existing inherited file hash against inheritance-manifest.tsv; unchanged English is not permission to retranslate. Record baseline exceptions separately.	/Users/vonng/pgsty/pgdoc/en/diff/20-vs-18.6/20260909-085948-37d573/inventory.tsv
