english	chinese	context	evidence	status
replacement selection	置换选择	旧版外部排序算法；与比较排序及归并区别	decisions/config.json	adopted
sort run	有序段	外部排序中已排序的连续序列	decisions/config.json	adopted
cache-oblivious	缓存无关	旧版排序算法的缓存无关变种	decisions/config.json	adopted
internal auto dependency	内部自动依赖	历史 pg_depend 依赖类型	decisions/catalogs.json	adopted
support procedure	支持函数	PG11之前索引访问方法术语，指SQL函数；不等于SQL存储过程	agents/index-methods/REVIEW.md;decisions/catalogs.json	adopted-contextual
version duplicates	版本重复项	B-树中同一逻辑行多个版本形成的重复项	agents/index-methods/REVIEW.md	adopted
version churn	版本频繁更替	沿用冻结中文B-树同族表达	agents/index-methods/REVIEW.md	adopted-existing
transient table	短暂表	ALTER TABLE堆重写期间内部关系，区别SQL临时表	agents/archive_build/TERMS-NEW.md:G-b062be48d51378f042a5	adopted
fast default	快速默认值	添加列时保存常量默认值的机制	agents/archive_build/TERMS-NEW.md:G-f993f5dd7c64f8a2fc2e	adopted
pivot tuple	枢轴元组	B-树内部路由和分隔元组	agents/archive_build/TERMS-NEW.md:G-717ef5482bd5329ee622	adopted
tuple deconstruction	元组解构	JIT拆解元组并读取各属性	agents/archive_build/TERMS-NEW.md:G-536330d7d5599a3c2334	adopted
SQL profile	SQL 配置规范	旧版information_schema.sql_sizing_profiles所描述的SQL标准功能要求组合	decisions/information-schema.json:G-60b99c1a04e56ac5858d	adopted-contextual
tranche	切片	LWLock分组，沿用冻结中文监控探针说明	inputs/zh/14/monitoring.sgml;decisions/monitoring.json:G-3ae434075bffca50b518	adopted-existing
