原序号	原英文	原译	最终英文	最终中文	最终理由	使用规则	来源 URL
27	B-tree	B-树	B-tree	B 树	接受 B 树这一中文释义，正文 B-tree 名称单独保护，避免再次出现英文自映射。	说明性正文沿用 B-tree，首用可写 B-tree（B 树）；btree 访问方法名保持原样。	https://www.postgresql.org/docs/18/indexes-types.html
43	binary coercible	二进制可强制	binary coercible	二进制可强制转换	不接受恢复不完整的可强制；补全为可强制转换，同时保留 coercion 的术语联系，比首修可转换更明确。	相应值采用相同内部表示，无需转换函数；该关系可为单向，双向成立时才称二进制兼容。强制转换不等于必须显式写 CAST。	https://www.postgresql.org/docs/18/sql-createcast.html
50	Bloom Classes	Bloom 类	Bloom Classes	Bloom 操作符类	补出操作符类准确界定了对象类别，Bloom 名称仍可直接对应代码。	首用可释义为基于布隆过滤器的 BRIN 操作符类；标识符 *_bloom_ops 保留。	https://www.postgresql.org/docs/18/brin.html
51	Bootstrap	初始启动	Bootstrap	引导	引导已经足够表达计算机启动语境的 bootstrap，首修叠加初始化没有必要。	bootstrap mode 依 bki.sgml 现行写 bootstrap 模式或引导模式；bootstrap superuser 写引导超级用户；统计学 bootstrap 写自助法。	
60	buffer table	缓冲表	buffer table	缓冲区映射表	保留首修。原作者英文明确描述标签到缓冲区编号的哈希映射；审查者承认未核对作者中译，不能据推测断言缓冲表是必须沿用的权威名称。	仅限 PG 缓冲区管理中的 buffer table，表示页标签到缓冲区编号的哈希映射；旧译缓冲表可作别称，不指用户 SQL 表。	https://www.interdb.jp/pg/pgsql08/02.html ; https://edu.postgrespro.com/postgresql_internals-14_en.pdf
68	Caching Rows (Memoization)	缓存行 (Memoization)	Caching Rows (Memoization)	行缓存（记忆化）	记忆化补齐了原来未翻译的概念，行缓存能自然表达标题对象。	Memoize 计划节点名与 enable_memoize 保留原文；首用说明缓存参数化内表结果。	https://www.postgresql.org/docs/18/runtime-config-query.html ; https://edu.postgrespro.com/postgresql_internals-14_en.pdf
78	Character-entry escapes	字符项逃逸	Character-entry escapes	字符输入转义	正则表达式中 escape 应使用转义，字符输入也比字符项准确。	正则表达式中的字符输入转义；转义序列保持原样。	https://www.postgresql.org/docs/18/functions-matching.html ; https://learn.microsoft.com/zh-cn/dotnet/standard/base-types/regular-expression-language-quick-reference
82	cid	命令标识	cid	命令标识符	接受命令标识符，既恢复释义，也与 cid 类型说明及 command id 对齐。	类型名 cid 保留；cmin、cmax 系统列保留。	https://www.postgresql.org/docs/18/storage-page-layout.html
83	Class-shorthand escapes	类缩写逃逸	Class-shorthand escapes	字符类简写转义	字符类、简写、转义三个成分都有明确技术含义，首修更完整。	正则表达式中字符类的简写转义；转义序列保持原样。	https://www.postgresql.org/docs/18/functions-matching.html ; https://learn.microsoft.com/zh-cn/dotnet/standard/base-types/regular-expression-language-quick-reference
84	cleanup stage	清除阶段	cleanup stage	清理阶段	清理阶段与 VACUUM 清理过程术语一致，保留首修。	VACUUM 流程说明；函数名保持原文。	https://www.postgresql.org/docs/18/routine-vacuuming.html ; https://edu.postgrespro.com/postgresql_internals-14_en.pdf
91	combine function	组合函数	combine function	合并函数	保留首修。此函数合并两个部分聚合状态，合并直接表达其作用，能减少与函数组合的混淆；不是仅凭词频否定这一可读性收益。	只用于聚合机制中的 combine function，合并部分聚合状态；不是普通函数复合，也不是合并最终结果值。combinefunc 等参数名保留。采用时与同词族同步 xaggr、CREATE AGGREGATE 和并行查询相关说明，按英文逐处核对。	https://www.postgresql.org/docs/18/xaggr.html#XAGGR-PARTIAL-AGGREGATES ; https://www.postgresql.org/docs/18/xaggr.html
92	command id	命令标识	command id	命令标识符	接受命令标识符，与 cid 中文释义统一；命令 ID 是可接受别称。	标识符 cid 保留。	https://www.postgresql.org/docs/18/storage-page-layout.html
103	constraint escape	约束逃逸	constraint escape	约束转义	约束转义适用于正则零宽约束，修正逃逸这一不适当译名。	正则表达式中的零宽约束转义，不是数据库表约束。	https://www.postgresql.org/docs/18/functions-matching.html ; https://learn.microsoft.com/zh-cn/dotnet/standard/base-types/regular-expression-language-quick-reference
127	default B-tree operator class	默认 B-树操作符类	default B-tree operator class	默认 B-tree 操作符类	接受默认 B-tree 操作符类，以与正文保留 B-tree 的策略一致。	B-tree 名称及具体操作符类标识符保留，普通 operator class 译操作符类。	https://www.postgresql.org/docs/18/indexes-opclass.html
137	discrete percentile	离散百分位	discrete percentile	离散百分位数	离散百分位数是完整的统计量名称，与 percentiles 统一。	percentile_disc 函数名保留。	https://www.postgresql.org/docs/18/functions-aggregate.html ; https://learn.microsoft.com/zh-cn/sql/t-sql/functions/percentile-disc-transact-sql?view=sql-server-ver17
139	DTrace probe	探针	DTrace probe	DTrace 探针	DTrace 限定不能丢失，探针译名准确。	DTrace 保留原名。	https://www.postgresql.org/docs/18/dynamic-trace.html
140	DTrace probes	探针	DTrace probes	DTrace 探针	与单数条目采用同一完整译法。	DTrace 保留原名；复数不需要额外中文数量词。	https://www.postgresql.org/docs/18/dynamic-trace.html
150	Escapes	逃逸	Escapes	转义	字符和正则语境统一为转义；其他专业里的 escape 仍按语境处理。	字符与正则表达式语境译转义；escape analysis 等其他术语不逐字套用。	https://www.postgresql.org/docs/18/functions-matching.html ; https://learn.microsoft.com/zh-cn/dotnet/standard/base-types/regular-expression-language-quick-reference
165	External Sorting	外排	External Sorting	外部排序	外部排序比外排适合正式术语表，同时允许正文中使用已引介的简称。	与内存排序对照。	https://edu.postgrespro.com/postgresql_internals-14_en.pdf
179	first-committer-win	以先提交者为准	first-committer-wins	先提交者胜出	保留首修规范化词头，并补旧拼写的检索别名；撤回把原拼法直接判为错误的说法。	first-committer-win 作为词表检索别名保留，原文和代码不自动改拼写；具体并发裁决规则以来源文献为准。	https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/tr-95-51.pdf ; https://www.microsoft.com/en-us/research/publication/a-critique-of-ansi-sql-isolation-levels/ ; https://www.interdb.jp/pg/pgsql05/08.html ; https://www.postgresql.org/docs/18/transaction-iso.html
180	first-updater-win	以先更新者为准	first-updater-wins	先更新者胜出	原作者实际使用单数 win，因此词头规范化必须配套检索别名，不能宣称原文写错。	first-updater-win 作为词表检索别名保留，原文和代码不自动改拼写；不推广成所有隔离级别的统一规则。	https://www.interdb.jp/pg/pgsql05/08.html ; https://www.postgresql.org/docs/18/transaction-iso.html
195	Frozen txid	冻结事务标识	Frozen txid	冻结事务 ID	冻结事务 ID 与事务 ID 词族保持一致。	常量 FrozenTransactionId 保留。	https://www.interdb.jp/pg/pgsql05/10.html ; https://www.postgresql.org/docs/18/routine-vacuuming.html
199	full-page image	整页镜像	full-page image	整页映像	保留首修以与前映像、后映像统一，但不把镜像在所有 IT 文本中的使用一概判为误译。	WAL 页映像语境统一为整页映像；既有整页镜像作为旧译说明，函数、配置和输出不改名。	https://www.postgresql.org/docs/18/wal-intro.html ; https://edu.postgrespro.com/postgresql_internals-14_en.pdf
213	header data	首部数据	header data	头部数据	头部数据与页头、元组头的用语一致；首部也可理解，不定性为误译。	PageHeaderData 等类型名保留。	https://www.postgresql.org/docs/18/storage-page-layout.html
215	heap only tuple	堆内元组	heap-only tuple	堆内元组	接受 Claude 第二轮最终方案。仅堆元组更贴近字面，但不足以证明应替换已与 HOT 绑定的项目名称；主译保留堆内元组词族，别称和首用解释承担精度说明。	首用堆内元组（heap-only tuple，HOT）；说明 HOT 新元组不为其单独创建普通索引项，索引相关条件及汇总索引例外按对应版本解释；仅堆元组作中文别称。旧英文 heap only tuple 仅作词头检索。	https://www.postgresql.org/docs/18/storage-hot.html
242	Inclusion Classes	Inclusion 类	Inclusion Classes	Inclusion 操作符类	接受类别名称保留 Inclusion，并补操作符类；具体含义放在解释中。	Inclusion 操作符类汇总一个能包含块范围中全部值的值；*_inclusion_ops 等名称保持原样。	https://www.postgresql.org/docs/18/brin.html
258	inverse transition function	逆向转换函数	inverse transition function	逆向状态转移函数	保留原逆向表达并补状态，说明逆操作针对聚合状态，而非一般类型转换。	移动聚合中从状态移除移出窗口的输入贡献；minvfunc 参数名保留，不能直接理解成任意转换函数的数学逆函数。采用时与同词族同步 xaggr、CREATE AGGREGATE 和并行查询相关说明，按英文逐处核对。	https://www.postgresql.org/docs/18/xaggr.html#XAGGR-MOVING-AGGREGATES ; https://www.postgresql.org/docs/18/xaggr.html
260	io_in_progress	IO 进行标记位	io_in_progress	I/O 进行中标志位	I/O 进行中标志位比原译清楚，标识符另行保留。	标识符保留；PG 18 常量为 BM_IO_IN_PROGRESS。	https://www.interdb.jp/pg/pgsql08/02.html ; https://edu.postgrespro.com/postgresql_internals-14_en.pdf
261	io_in_progress_lock	IO 进行锁	io_in_progress_lock	I/O 进行中锁	恢复中文释义并补中，使其与 io_in_progress 进行中状态对应，避免 I/O 进行锁的生硬省略。	历史内部名称的释义；io_in_progress_lock 原样保留，不能据此断言 PG 18 有同名字段或仍沿用旧同步实现。	https://www.postgresql.org/docs/18/monitoring-stats.html ; https://www.interdb.jp/pg/pgsql08/02.html ; https://edu.postgrespro.com/postgresql_internals-14_en.pdf
267	Join Types and Methods	连接类型和方式	Join Types and Methods	连接类型与方法	方法与 join method 对齐，保留完整标题。	标题用法。	https://www.postgresql.org/docs/18/queries-table-expressions.html ; https://www.postgresql.org/docs/18/using-explain.html
288	log compaction	日志压缩	log compaction	日志压实	保留首修。Kafka 官方区分按键保留记录的 compaction 与批次 compression；compaction 译压实而复合词译压缩会重新引入混淆。未打开相关旧中译不能作为回滚证据。	日志压实指按键保留相应最新状态的清理策略，不是通用字节压缩；旧译日志压缩可作带英文的别称。具体 tombstone 和保留保证以 Kafka 文档为准。	https://kafka.apache.org/41/design/design/
297	LWW	最后写入胜利	LWW	最后写入胜出	同意恢复释义，进一步把胜利改成胜出，与两个 first-*-wins 规则一致；保留原中文作为历史别称，不把措辞优化说成概念纠错。	正文保留 LWW；首用最后写入胜出（LWW）；最后通常由协议使用的时间戳或版本顺序确定，不等同最后到达服务器。	https://vonng.gitbooks.io/ddia-cn/content/ch5.html ; https://www.cl.cam.ac.uk/teaching/2122/ConcDisSys/dist-sys-notes.pdf
301	master	主	master	主库	在复制角色内主库比单字主完整，并已有配套语境限制。	仅复制角色；pgcrypto 的 master key 译主密钥。	https://www.postgresql.org/docs/18/warm-standby.html
302	master/slave	主/从	master/slave	主库/从库	与主库和从库两项对应，保留历史英文名称。	历史术语，不改写为其他协议角色。	
311	Merging Sorted Sets	归并排序数据集	Merging Sorted Sets	归并有序集合	有序集合能避免误读为归并排序这一算法名称，保留首修。	Rogov 章节标题。	https://edu.postgrespro.com/postgresql_internals-14_en.pdf
313	Minmax Classes	Minmax 类	Minmax Classes	Minmax 操作符类	保留 Minmax 名称有利于对应操作符类族，同时补足对象类型。	首用可释义为存储范围内最小/最大值的操作符类。	https://www.postgresql.org/docs/18/brin.html
314	Minmax-Multi Classes	Minmax-Multi 类	Minmax-Multi Classes	Minmax-Multi 操作符类	与 Minmax、Inclusion、Bloom 类统一，机制解释放在规则中。	首用可释义为存储多个区间最小/最大值的操作符类；不是多列索引。	https://www.postgresql.org/docs/18/brin.html
322	multi-table index cluster tables	多表索引集群表	multi-table index cluster tables	多表索引簇表	多表索引簇表比簇中的表更适合术语条目，同时保留 Oracle 对比范围。	Oracle 对比语境；不表示 PG 提供此结构。	https://docs.oracle.com/en/database/oracle/oracle-database/19/cncpt/tables-and-table-clusters.html
324	Multitransactions	组事务	Multitransactions	多事务	接受现行多事务译名，明确 MultiXact 的含义以区别组提交和普通多个事务。	首用 多事务（multitransaction，MultiXact）；不是组提交。	https://www.postgresql.org/docs/18/routine-vacuuming.html ; https://www.postgresql.org/docs/18/storage-file-layout.html
332	No-Wait Locks	无等待锁定	No-Wait Locks	无等待加锁	无等待加锁准确描述获取锁的行为，保留首修。	NOWAIT 语法保留。	https://edu.postgrespro.com/postgresql_internals-14_en.pdf ; https://www.postgresql.org/docs/18/explicit-locking.html
360	Page Pruning	页剪枝	Page Pruning	页内剪枝	页内剪枝能清楚区分分区剪枝，限定符合该术语实际对象。	HOT 语境。	https://www.postgresql.org/docs/18/storage-hot.html ; https://edu.postgrespro.com/postgresql_internals-14_en.pdf
370	parameterized (index) path	参数化索引路径	parameterized (index) path	参数化（索引）路径	索引的可选括号保留了英文覆盖范围，属于精度修复。	规划器语境。	https://edu.postgrespro.com/postgresql_internals-14_en.pdf
384	peer group	平级组	peer group	同等行组	首修同值行组容易误解为整行相同；平级组未表达按排序键分组。改为同等行组，与现行 peers 的同等行衔接。	窗口函数中仅按窗口 ORDER BY 键判断行是否同等，不要求整行各列相等；没有 ORDER BY 时相应分区中的行均为同等行。	https://www.postgresql.org/docs/18/functions-window.html ; https://www.postgresql.org/docs/18/sql-expressions.html
385	percentiles	百分位点	percentiles	百分位数	百分位数作为主词条较完整，保留百分位点为特定来源别称。	DDIA 语境可沿用百分位点；不与百分比混淆。	https://vonng.gitbooks.io/ddia-cn/content/ch1.html ; https://www.postgresql.org/docs/18/functions-aggregate.html ; https://learn.microsoft.com/zh-cn/sql/t-sql/functions/percentile-disc-transact-sql?view=sql-server-ver17
387	pg_checksum	页校验和	pd_checksum	页校验和	同意页头字段规范为 pd_checksum 并恢复页校验和释义；把原拼写记入勘误，不能当合法代码别名。	依据原中文及官方页头结构认定此条指 pd_checksum；仅作术语表勘误，原文若出现 pg_checksum 必须核对所指，不能自动改代码。	https://www.interdb.jp/pg/pgsql01/03.html ; https://www.postgresql.org/docs/18/storage-page-layout.html
388	pg_flag	页标志位	pd_flags	页标志位	同意 pd_flags 的真实拼写，并保留页标志位释义和原拼写勘误。	依据原中文及官方页头结构认定此条指 pd_flags；pg_flag 作为旧拼写记录，不作为可直接替换代码的合法别名。	https://www.postgresql.org/docs/18/storage-page-layout.html
389	pg_lsn	日志序列号	pg_lsn	日志序列号类型	日志序列号类型更准确说明 pg_lsn 的对象类型，类型名本身保留。	类型名保留；首用 pg_lsn 类型（用于表示 LSN）。	https://www.postgresql.org/docs/18/datatype-pg-lsn.html
393	pin count	钉数	pin count	钉住计数	钉数需要改善；接受钉住计数以保持 pinned 词族，不依赖未核实的中译书名主张唯一权威性。	缓冲区 pin/refcount 语境，区别置换算法的 usage count；具体计数单位按对应版本实现说明。	https://www.interdb.jp/pg/pgsql08/02.html ; https://edu.postgrespro.com/postgresql_internals-14_en.pdf
401	postgres server process	Postgres 服务器进程	postgres server process	postgres 服务器进程	postgres 在该短语中是程序名，小写有实际对应意义。	泛指产品写 PostgreSQL。	
421	Quicksort	快排	Quicksort	快速排序	快速排序是完整算法名，比快排更适合术语表。	EXPLAIN 输出中的 quicksort 保留。	
423	Range Summarization	范围提要	Range Summarization	范围摘要	范围摘要与 BRIN 的摘要概念一致，优于孤立的提要。	BRIN 块范围语境。	https://www.postgresql.org/docs/18/brin.html
454	rescan	重扫描	rescan	重新扫描	重新扫描自然清楚，现行文档也已使用。	ReScan 函数名保留。	https://edu.postgrespro.com/postgresql_internals-14_en.pdf
469	save-point	保存点	savepoint	保存点	savepoint 规范化合理，旧 save-point 保留为检索别名。	保留别名行 save-point；SAVEPOINT 关键字在 exclude.tsv。	https://www.postgresql.org/docs/18/sql-savepoint.html
476	secure schema usage pattern	安全的模式使用模式	secure schema usage pattern	模式的安全使用方式	接受使用方式替代第二个模式；采用模式的安全使用方式，使安全明确修饰使用方式，避免被读成安全模式。	schema 仍译模式；本章节 usage patterns 写使用方式，其他语境可继续使用模式。	https://www.postgresql.org/docs/18/ddl-schemas.html
504	skew	偏差	skew	倾斜	保留数据分布主译，但不能规定凡统计信息上下文中的 skew 一律译偏差，仍需看是否指分布不均。	数据或负载分布不均用倾斜；统计量不对称性可为偏度，统计信息失真可为偏差；clock/read/write skew 按完整词组译时钟/读/写偏差。	
530	START WAL	WAL 起始位置	START WAL LOCATION	WAL 起始位置	字段名称补全有源码依据，同时恢复 WAL 起始位置说明。	字段保留。	https://raw.githubusercontent.com/postgres/postgres/REL_18_STABLE/src/backend/access/transam/xlogbackup.c
533	state transition functions	状态转换函数	state transition functions	状态转移函数	保留首修，与逆向状态转移函数形成统一词族，明确描述聚合状态随输入推进，避免与类型转换混用。	聚合机制中的状态更新函数；不把所有 transition 都译转移，触发器 transition table 仍为过渡表。函数和参数名保持原样。采用时与同词族同步 xaggr、CREATE AGGREGATE 和并行查询相关说明，按英文逐处核对。	https://www.postgresql.org/docs/18/xaggr.html
538	streaming	流复制	streaming	流式传输	streaming 不蕴含复制，流式传输比原译范围准确。	Streaming Replication 才译流复制；执行语境可写流式处理。	https://www.postgresql.org/docs/18/protocol-flow.html ; https://www.postgresql.org/docs/18/warm-standby.html
542	struct	结构	struct	结构体	结构体是 C 语言对象类别的正确释义，struct 关键字不译。	struct 原样保留；正文 structure 译结构或结构体。	https://www.postgresql.org/docs/18/storage-page-layout.html ; https://www.postgresql.org/docs/18/sql-syntax-lexical.html
561	TimelineID	时间线标识	TimeLineID	时间线 ID	接受 C 类型 TimeLineID 拼写和时间线 ID 释义；不把大小写相近的变量名自动视为同一个类型。	TimeLineID 作为 C 类型保留；旧词头 TimelineID 仅作检索记录，原文 timelineId 等变量名必须保留实际拼写。	https://raw.githubusercontent.com/postgres/postgres/REL_18_STABLE/src/include/access/xlogdefs.h
569	transaction id	事务标识	transaction id	事务 ID	事务 ID 兼顾简洁和现有用法，代码标识符仍保护。	xid、txid 代码名保留。	https://www.postgresql.org/docs/18/datatype-oid.html
579	Trigrams	三元组	Trigrams	三字符组	保留首修。PG 的 trigram 明确由三个连续字符组成，译三元组会与数据库 tuple 的元组术语混淆，不能仅凭旧章词频否定消歧收益。	限定 pg_trgm 的字符级 trigram；首用三字符组（trigram），解释空格填充等提取规则；旧译三元组作别称。泛 NLP 的词级 trigram 另按上下文处理。	https://www.postgresql.org/docs/18/pgtrgm.html
585	txid	事务标识	txid	事务 ID	恢复事务 ID 释义，与 transaction id 统一；txid 原样保留。	txid 保留。	https://www.postgresql.org/docs/18/datatype-oid.html
586	txid wrap around	事务标识回卷	txid wraparound	事务 ID 回卷	规范化 wraparound 拼写并保留旧词头检索，事务 ID 回卷与既有完整词条统一。	保留别名行 txid wrap around；回卷不译回滚。	https://www.postgresql.org/docs/18/routine-vacuuming.html
591	unlogged	不记录日志	unlogged	不记录 WAL	保留首修对 WAL 的明确限定，去掉固定的的字以便组词；不能让读者误解为不生成任何服务器日志。	说明性正文可写不记录 WAL 的表；UNLOGGED 关键字保留。指相应关系的普通数据变更，不能推导其创建、初始化等全部操作完全不产生 WAL。	https://www.postgresql.org/docs/18/sql-createtable.html
600	Value Insertion	插入值	Value Insertion	值插入	值插入适合作为名词性标题，句中可按语法使用插入值。	句中可写插入值。	https://www.postgresql.org/docs/18/sql-insert.html
619	walreceiver	WAL 接收器	walreceiver	WAL 接收进程	WAL 接收进程更直接说明角色，代码和进程名称 walreceiver 保留。	进程名与 backend_type 值保留。	https://www.postgresql.org/docs/18/monitoring-stats.html
620	walsender	WAL 发送器	walsender	WAL 发送进程	与 WAL 接收进程成对，中文说明角色，名称原样保留。	walsender 作为名称保留；正文可解释为 WAL 发送进程。	https://www.postgresql.org/docs/18/monitoring-stats.html
