原序号	旧英文	主词头	中文别称	主中文	记录性质	使用限制
27		B-tree	B 树	B-树	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
60		buffer table	缓冲表	缓冲区映射表	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
82		cid	命令标识	命令标识符	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
84		cleanup stage	清除阶段	清理阶段	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
92		command id	命令 ID；命令标识	命令标识符	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
127		default B-tree operator class	默认 B-tree 操作符类	默认 B-树操作符类	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
137		discrete percentile	离散百分位	离散百分位数	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
165		External Sorting	外排	外部排序	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
179	first-committer-wins	first-committer-win	先提交者胜出	以先提交者为准	来源词形与可接受中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
180	first-updater-wins	first-updater-win	先更新者胜出	以先更新者为准	来源词形与可接受中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
195		Frozen txid	冻结事务标识	冻结事务 ID	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
197	Full VACUUM	FULL VACUUM		完全清理	词头别名	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
199		full-page image	整页映像	整页镜像	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
213		header data	头部数据	首部数据	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
215	heap only tuple	heap-only tuple	仅堆元组	堆内元组	词头别名与中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
221		heap-only tuple updates	仅堆元组更新	堆内元组更新	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
230		HOT	仅堆元组	堆内元组	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
267		Join Types and Methods	连接类型与方法	连接类型和方式	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
288		log compaction	日志压缩	日志压实	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
297		LWW	最后写入胜利	最后写入胜出	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
324		Multitransactions	组事务	多事务	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
332		No-Wait Locks	无等待锁定	无等待加锁	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
360		Page Pruning	页剪枝	页内剪枝	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
385		percentiles	百分位数	百分位点	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
387	pg_checksum	pd_checksum		页校验和	勘误记录	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
388	pg_flag	pd_flags		页标志位	勘误记录	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
421		Quicksort	快排	快速排序	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
423		Range Summarization	范围提要	范围摘要	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
454		rescan	重扫描	重新扫描	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
469	save-point	savepoint		保存点	词头别名	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
530	START WAL	START WAL LOCATION		WAL 起始位置	勘误记录	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
561	TimelineID	TimeLineID	时间线标识	时间线 ID	上下文检索	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
569		transaction id	事务标识	事务 ID	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
579		Trigrams	三元组	三字符组	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
585		txid	事务标识	事务 ID	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
586	txid wrap around	txid wraparound	事务标识回卷	事务 ID 回卷	词头别名	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
600		Value Insertion	值插入	插入值	可接受中文表达	仅作检索与解释，不是错误清单。不得自动替换；同一概念位置的适用版本应保持一致。
603		victim page	待置换页	牺牲页面	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
