原序号	English	保留字面形式	使用规则
1	2PL	是	正文保留 2PL；首用写 两阶段锁协议（2PL）；不与两阶段提交（2PC）混淆。
2	Abort	按语境	普通动词中止；命令 ABORT 不翻译，不能忽略大小写做替换。
3	abstraction	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
4	Access Method Properties	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
5	access path	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
6	access predicate	按语境	用于解释谓词职责；具体 EXPLAIN 字段名保持原样。
7	action	按语境	不把规则动作、外键动作与事务等同。
8	active/passive	按语境	主用/备用为角色说明；不得替换协议字段或配置枚举。
9	advisory lock	按语境	咨询锁（advisory lock）；“建议锁”可作别称，不能因此判原译错误。
10	after-images	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
11	aggregate	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
12	aggregate function	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
13	Analyzer	按语境	通称分析器；按段落判断是否需要补“语义”。
14	Anti-Join	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
15	arbiter indexes	按语境	ON CONFLICT 语境。
16	archive log	按语境	PostgreSQL 正文可按上下文写归档 WAL。
17	arithmetic mean	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
18	assignment cast	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
19	atomic broadcast	按语境	不要按一般“广播操作原子化”理解。
20	atomic commit	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
21	atomic increment	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
22	Atomicity	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
23	authenticated user	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
24	automatically updatable	按语境	描述视图能力，不能简化为所有视图均可写。
25	autovacuum	按语境	自动清理（autovacuum）；配置键不翻译。
26	autovacuum daemon	按语境	明确进程时分别写自动清理启动器、自动清理工作进程。
27	B-tree	按语境	说明性正文译为 B-树，首用可写 B-树（B-tree）；撤销概念名必须保留英文的规定。真实访问方法名 btree、USING btree、扩展名、函数名及原始输出保持原样。已确认由此前术语校准改掉的中文，按回退决定恢复。
28	back reference	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
29	Backend Process	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
30	background process	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
31	background worker	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
32	Background Worker Process	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
33	background writer	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
34	backpressure	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
35	backup	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
36	backup block	按语境	若原文实际指 full-page image，则用整页镜像；其他 backup block 按实际对象理解，不自动套用该释义。
37	base backup	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
38	base directory	按语境	字面路径 base/ 与 PGDATA 保持原样；说明性正文用基础目录。
39	base type	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
40	Basic Statistics	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
41	batch	按语境	按批次、批处理、批量分别组词。
42	before-images	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
43	binary coercible	按语境	相应值采用相同内部表示，无需转换函数；该关系可为单向，双向成立时才称二进制兼容。强制转换不等于必须显式写 CAST。
44	binlog coordinates	按语境	首次注明 MySQL binlog 坐标；不要等同于 LSN。
45	bit	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
46	Bitmap Scans	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
47	Bitmap-Scan	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
48	block number	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
49	blocks	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
50	Bloom Classes	按语境	首用可释义为基于布隆过滤器的 BRIN 操作符类；标识符 *_bloom_ops 保留。
51	Bootstrap	按语境	bootstrap mode 依 bki.sgml 现行写 bootstrap 模式或引导模式；bootstrap superuser 写引导超级用户；统计学 bootstrap 写自助法。采用中文译名时合写引导模式、引导代码、引导后端等，不保留英文词边界在中文词内造成的空格。
52	bracket expression	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
53	branching factor	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
54	buckets	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
55	Buffer Cache	按语境	PG 通常指共享内存中的页缓存，区别操作系统页缓存。
56	buffer descriptors	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
57	buffer descriptors layer	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
58	Buffer Manager	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
59	buffer pool	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
60	buffer table	按语境	仅限 PG 缓冲区管理中的 buffer table，表示页标签到缓冲区编号的哈希映射；旧译缓冲表可作别称，不指用户 SQL 表。
61	buffer tag	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
62	buffer_tag	是	标识符 buffer_tag 保留；正文首用 buffer_tag（缓冲区标签）；结构类型名为 BufferTag。
63	built-in	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
64	Bulk Eviction	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
65	Cache Hits	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
66	Cache Misses	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
67	Cache Warming	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
68	Caching Rows (Memoization)	按语境	Memoize 计划节点名与 enable_memoize 保留原文；首用说明缓存参数化内表结果。
69	call handler	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
70	candidate buffer descriptor	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
71	CAP theorem	按语境	首次解释一致性、可用性与网络分区条件，避免简化为任意三选二。
72	Cartesian Product	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
73	cast	按语境	不采用旧式“造型”；不能全局忽略大小写替换。
74	catch-up	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
75	causality	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
76	CC	是	正文保留 CC；首用 并发控制（CC）；仅限并发控制语境。
77	change data capture	按语境	不把 CDC 等同于 PostgreSQL 的某一个接口。
78	Character-entry escapes	按语境	正则表达式中的字符输入转义；Numeric character-entry escapes 同属此类，编码说明、标题和定义须采用同一译名。字符项转义、字符项逃逸仅作旧译检索，转义序列保持原样。
79	checkpoint	按语境	概念名与命令示例分别处理。
80	checkpoint record	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
81	checkpointer	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
82	cid	是	类型名 cid 保留；cmin、cmax 系统列保留。
83	Class-shorthand escapes	按语境	正则表达式中字符类的简写转义；转义序列保持原样。
84	cleanup stage	按语境	VACUUM 流程说明；函数名保持原文。并列的 index vacuuming 和 index cleanup 两个阶段分别写索引清理和索引收尾清理，必要时括注英文；后者不等同随后 performing final cleanup 阶段，也不将 INDEX_CLEANUP 选项的一般索引清理含义一律改成收尾清理。真实 phase 输出值保持原样。
85	clock-sweep	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
86	CLOG	是	正文保留 CLOG；首用 CLOG（提交日志，现代目录为 pg_xact）；区别 WAL。
87	cold standby	按语境	不能仅据“冷”字推导所有实现的恢复时间或备份方式。
88	cold-standby	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
89	collation	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
90	Column-Level Properties	按语境	用于说明性正文；代码、关键字、对象名及原始输出保持原样。
