task_id	stage	dependencies	versions	target_files	action	hunk_or_group_ids	english_sources	chinese_sources	owner	status	acceptance
G-000491a3da3ace460ac8	3	FOUR-FILE-SKELETONS	13,12	func.sgml	reused_reviewed	PG12-H000761	/Users/vonng/pgsty/pgdoc/en/13.23/func.sgml:16293|/Users/vonng/pgsty/pgdoc/en/12.22/func.sgml:13150		canonical:functions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00076da7ab9224ad3aa2	3	FOUR-FILE-SKELETONS	11,10	features.sgml	translated	PG10-H002099,PG11-H000881	/Users/vonng/pgsty/pgdoc/en/11.22/features.sgml:419|/Users/vonng/pgsty/pgdoc/en/10.23/features.sgml:419	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/features.sgml	canonical:general-appendices	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-000b4b2d07cddd0ffebc	3	FOUR-FILE-SKELETONS	13,12,11,10	pgstandby.sgml	translated	PG10-H009058,PG11-H007603,PG12-H007300,PG13-H006524	/Users/vonng/pgsty/pgdoc/en/13.23/pgstandby.sgml:54|/Users/vonng/pgsty/pgdoc/en/12.22/pgstandby.sgml:54|/Users/vonng/pgsty/pgdoc/en/11.22/pgstandby.sgml:54|/Users/vonng/pgsty/pgdoc/en/10.23/pgstandby.sgml:54		canonical:installation-runtime	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-000c487cb9a37875c0d7	3	FOUR-FILE-SKELETONS	10	pgprewarm.sgml	translated	PG10-H009053	/Users/vonng/pgsty/pgdoc/en/10.23/pgprewarm.sgml:10	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/pgprewarm.sgml	canonical:extensions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-000d2b821a00cc0057ad	3	FOUR-FILE-SKELETONS	13,12,11,10	catalogs.sgml	reused_reviewed	PG10-H000473,PG11-H000252,PG12-H000229,PG13-H000223	/Users/vonng/pgsty/pgdoc/en/13.23/catalogs.sgml:13203|/Users/vonng/pgsty/pgdoc/en/12.22/catalogs.sgml:11477|/Users/vonng/pgsty/pgdoc/en/11.22/catalogs.sgml:11224|/Users/vonng/pgsty/pgdoc/en/10.23/catalogs.sgml:11091	/Users/vonng/pgsty/pgdoc/tmp/pg10-13-from-14/20260909-150220/inputs/zh/14/catalogs.sgml	canonical:catalogs	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-000eb5852b7ca952dd8b	3	FOUR-FILE-SKELETONS	12,11	func.sgml	literal_reviewed	PG11-H000917,PG12-H000761	/Users/vonng/pgsty/pgdoc/en/12.22/func.sgml:10123|/Users/vonng/pgsty/pgdoc/en/11.22/func.sgml:9733		canonical:functions	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00133045950f4f608416	3	FOUR-FILE-SKELETONS	10	ref/create_trigger.sgml	translated	PG10-H010839	/Users/vonng/pgsty/pgdoc/en/10.23/ref/create_trigger.sgml:603		canonical:reference-commands	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-0013ab1943e90cbac72e	3	FOUR-FILE-SKELETONS	12	release-12.sgml	translated	PG12-H008217	/Users/vonng/pgsty/pgdoc/en/12.22/release-12.sgml:24763		canonical:releases	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-00168371bc1b2f1e1d61	3	FOUR-FILE-SKELETONS	10	ref/create_materialized_view.sgml	translated	PG10-H010597	/Users/vonng/pgsty/pgdoc/en/10.23/ref/create_materialized_view.sgml:92		canonical:tail-final-round09	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
G-001a292f6df0efdf8184	3	FOUR-FILE-SKELETONS	13,12	release-13.sgml	translated	PG12-H008217,PG13-H007084	/Users/vonng/pgsty/pgdoc/en/13.23/release-13.sgml:20115|/Users/vonng/pgsty/pgdoc/en/12.22/release-12.sgml:14349		canonical:releases	complete;canonical_and_actual_application_semantically_verified	fixed_source_hash;context_semantics;shared_chinese;target_literals;applied_span_hash;independent_source_audit
