原序号	English	中文释义	现有排除表	使用规则
1	2PL	两阶段锁协议	未单独列入；由规则衔接	正文保留 2PL；首用写 两阶段锁协议（2PL）；不与两阶段提交（2PC）混淆。
27	B-tree	B 树	未单独列入；由规则衔接	说明性正文沿用 B-tree，首用可写 B-tree（B 树）；btree 访问方法名保持原样。
62	buffer_tag	缓冲区标签	未单独列入；由规则衔接	标识符 buffer_tag 保留；正文首用 buffer_tag（缓冲区标签）；结构类型名为 BufferTag。
76	CC	并发控制	未单独列入；由规则衔接	正文保留 CC；首用 并发控制（CC）；仅限并发控制语境。
82	cid	命令标识符	未单独列入；由规则衔接	类型名 cid 保留；cmin、cmax 系统列保留。
86	CLOG	提交日志	未单独列入；由规则衔接	正文保留 CLOG；首用 CLOG（提交日志，现代目录为 pg_xact）；区别 WAL。
106	content_lock	内容锁	未单独列入；由规则衔接	标识符保留；正文首用 content_lock（内容锁）。
151	ETL	提取-转换-加载	未单独列入；由规则衔接	正文保留 ETL；首用 提取、转换、加载（ETL）。
175	FDW	外部数据包装器	未单独列入；由规则衔接	正文保留 FDW；首用 外部数据包装器（FDW）。
196	FSM	空闲空间映射	未单独列入；由规则衔接	正文保留 FSM；首用 空闲空间映射（FSM）。
228	histogram_bounds	直方图边界值	未单独列入；由规则衔接	列名保留。
230	HOT	堆内元组	未单独列入；由规则衔接	正文保留 HOT；首用写 堆内元组（HOT），描述优化行为时写 HOT 更新；仅堆元组作中文别称。
260	io_in_progress	I/O 进行中标志位	未单独列入；由规则衔接	标识符保留；PG 18 常量为 BM_IO_IN_PROGRESS。
261	io_in_progress_lock	I/O 进行中锁	未单独列入；由规则衔接	历史内部名称的释义；io_in_progress_lock 原样保留，不能据此断言 PG 18 有同名字段或仍沿用旧同步实现。
264	JOIN	连接	未单独列入；由规则衔接	JOIN 原样保留；普通 join 译连接。
271	LABEL	备份标签	未单独列入；由规则衔接	backup_label 字段保留；普通 label 译标签。
296	LSN	日志序列号	未单独列入；由规则衔接	正文保留 LSN。
297	LWW	最后写入胜出	未单独列入；由规则衔接	正文保留 LWW；首用最后写入胜出（LWW）；最后通常由协议使用的时间戳或版本顺序确定，不等同最后到达服务器。
308	MCV	高频值	未单独列入；由规则衔接	正文保留 MCV。
319	most_common_freqs	高频值频率	未单独列入；由规则衔接	列名保留。
320	most_common_vals	高频值	未单独列入；由规则衔接	系统目录或视图列名 most_common_vals 保留；中文解释其存放高频值。
327	MVCC	多版本并发控制	未单独列入；由规则衔接	正文保留 MVCC；首用 多版本并发控制（MVCC）。
345	OCC	乐观并发控制	未单独列入；由规则衔接	正文保留 OCC。
347	OID	对象标识符	未单独列入；由规则衔接	正文保留 OID；oid 类型名保留。
387	pd_checksum	页校验和	未单独列入；由规则衔接	依据原中文及官方页头结构认定此条指 pd_checksum；仅作术语表勘误，原文若出现 pg_checksum 必须核对所指，不能自动改代码。
388	pd_flags	页标志位	未单独列入；由规则衔接	依据原中文及官方页头结构认定此条指 pd_flags；pg_flag 作为旧拼写记录，不作为可直接替换代码的合法别名。
389	pg_lsn	日志序列号类型	未单独列入；由规则衔接	类型名保留；首用 pg_lsn 类型（用于表示 LSN）。
395	PITR	时间点恢复	未单独列入；由规则衔接	正文保留 PITR。
446	relfilenode	关系文件节点	未单独列入；由规则衔接	标识符保留；PG 16+ 源码 RelFileLocator 不混改。
467	S2PL	严格两阶段锁协议	未单独列入；由规则衔接	正文保留 S2PL；strict 与 rigorous 变体按原文。
501	SI	快照隔离	未单独列入；由规则衔接	正文保留 SI；仅限事务隔离语境。
505	SLA	服务级别协议	未单独列入；由规则衔接	正文保留 SLA。
519	SQL/MED	SQL 外部数据管理	未单独列入；由规则衔接	正文保留 SQL/MED。
520	SR	流复制	未单独列入；由规则衔接	仅当原文使用 SR 时保留缩写，首用 流复制（SR）。
521	SSI	可串行化快照隔离	未单独列入；由规则衔接	正文保留 SSI。
528	START TIME	开始时间	未单独列入；由规则衔接	backup_label 字段保留。
529	START TIMELINE	开始时间线	未单独列入；由规则衔接	backup_label 字段 START TIMELINE 保留；中文用于解释备份开始时的时间线。
530	START WAL LOCATION	WAL 起始位置	未单独列入；由规则衔接	字段保留。
542	struct	结构体	未单独列入；由规则衔接	struct 原样保留；正文 structure 译结构或结构体。
549	sync_priority	同步优先级	未单独列入；由规则衔接	列名保留。
550	sync_state	同步状态	未单独列入；由规则衔接	列名 sync_state 和 sync、async、quorum 等枚举值保持原样。
559	TID	元组标识符	未单独列入；由规则衔接	正文保留 TID。
561	TimeLineID	时间线 ID	未单独列入；由规则衔接	TimeLineID 作为 C 类型保留；旧词头 TimelineID 仅作检索记录，原文 timelineId 等变量名必须保留实际拼写。
563	TOAST	超长属性存储技术（TOAST）	未单独列入；由规则衔接	正文保留 TOAST。
585	txid	事务 ID	未单独列入；由规则衔接	txid 保留。
597	VACUUM	清理	未单独列入；由规则衔接	VACUUM 原样保留；说明性 vacuum 译清理。
609	VM	可见性映射	未单独列入；由规则衔接	正文保留 VM；虚拟机语境不适用。
619	walreceiver	WAL 接收进程	未单独列入；由规则衔接	进程名与 backend_type 值保留。
620	walsender	WAL 发送进程	未单独列入；由规则衔接	walsender 作为名称保留；正文可解释为 WAL 发送进程。
