原序号	旧英文	主词头	中文别称	主中文	记录性质	使用限制
60		buffer table	缓冲表	缓冲区映射表	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
92		command id	命令 ID	命令标识符	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
179	first-committer-win	first-committer-wins		先提交者胜出	词头别名	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
180	first-updater-win	first-updater-wins		先更新者胜出	词头别名	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
197	Full VACUUM	FULL VACUUM		完全清理	词头别名	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
199		full-page image	整页镜像	整页映像	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
215	heap only tuple	heap-only tuple	仅堆元组	堆内元组	词头别名与中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
221		heap-only tuple updates	仅堆元组更新	堆内元组更新	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
230		HOT	仅堆元组	堆内元组	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
288		log compaction	日志压缩	日志压实	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
297		LWW	最后写入胜利	最后写入胜出	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
385		percentiles	百分位点	百分位数	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
387	pg_checksum	pd_checksum		页校验和	勘误记录	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
388	pg_flag	pd_flags		页标志位	勘误记录	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
469	save-point	savepoint		保存点	词头别名	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
530	START WAL	START WAL LOCATION		WAL 起始位置	勘误记录	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
561	TimelineID	TimeLineID		时间线 ID	上下文检索	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
579		Trigrams	三元组	三字符组	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
586	txid wrap around	txid wraparound		事务 ID 回卷	词头别名	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
603		victim page	待置换页	牺牲页面	中文别称	仅用于术语检索和一致性检查。须先按英文词头及所属语境消歧，不无条件替换中文，不自动改写原文、代码或变量名。
